"" "ensembl_gene_id" "entrezgene_id"
"1" "ENSG00000210049" NA
"2" "ENSG00000211459" NA
"3" "ENSG00000210077" NA
"4" "ENSG00000210082" NA
"5" "ENSG00000209082" NA
"6" "ENSG00000198888" 4535
"7" "ENSG00000210100" NA
"8" "ENSG00000210107" NA
"9" "ENSG00000210112" NA
"10" "ENSG00000198763" 4536
"11" "ENSG00000210117" NA
"12" "ENSG00000210127" NA
"13" "ENSG00000210135" NA
"14" "ENSG00000210140" NA
"15" "ENSG00000210144" NA
"16" "ENSG00000198804" 4512
"17" "ENSG00000210151" NA
"18" "ENSG00000210154" NA
"19" "ENSG00000198712" 4513
"20" "ENSG00000210156" NA
"21" "ENSG00000228253" 4509
"22" "ENSG00000198899" 4508
"23" "ENSG00000198938" 4514
"24" "ENSG00000210164" NA
"25" "ENSG00000198840" 4537
"26" "ENSG00000210174" NA
"27" "ENSG00000212907" 4539
"28" "ENSG00000198886" 4538
"29" "ENSG00000210176" NA
"30" "ENSG00000210184" NA
"31" "ENSG00000210191" NA
"32" "ENSG00000198786" 4540
"33" "ENSG00000198695" 4541
"34" "ENSG00000210194" NA
"35" "ENSG00000198727" 4519
"36" "ENSG00000210195" NA
"37" "ENSG00000210196" NA
"38" "ENSG00000272603" NA
"39" "ENSG00000263050" NA
"40" "ENSG00000281550" NA
"41" "ENSG00000241255" NA
"42" "ENSG00000281670" 23523
"43" "ENSG00000235044" NA
"44" "ENSG00000249276" NA
"45" "ENSG00000230204" NA
"46" "ENSG00000176555" 256148
"47" "ENSG00000259751" NA
"48" "ENSG00000102096" 11040
"49" "ENSG00000104903" 4066
"50" "ENSG00000237890" 401247
"51" "ENSG00000141682" 5366
"52" "ENSG00000276576" NA
"53" "ENSG00000262267" NA
"54" "ENSG00000171773" 115861
"55" "ENSG00000225696" NA
"56" "ENSG00000278954" NA
"57" "ENSG00000249320" NA
"58" "ENSG00000178821" 339456
"59" "ENSG00000248510" NA
"60" "ENSG00000271611" NA
"61" "ENSG00000279057" NA
"62" "ENSG00000286540" NA
"63" "ENSG00000189221" 4128
"64" "ENSG00000189190" 162966
"65" "ENSG00000259818" NA
"66" "ENSG00000216710" NA
"67" "ENSG00000223604" NA
"68" "ENSG00000282764" NA
"69" "ENSG00000271330" NA
"70" "ENSG00000211645" NA
"71" "ENSG00000112183" 221662
"72" "ENSG00000175877" 135886
"73" "ENSG00000270467" NA
"74" "ENSG00000271730" NA
"75" "ENSG00000230589" NA
"76" "ENSG00000145284" 79966
"77" "ENSG00000100346" 8911
"78" "ENSG00000234880" NA
"79" "ENSG00000230885" 4340
"80" "ENSG00000238170" NA
"81" "ENSG00000175832" 2118
"82" "ENSG00000215154" NA
"83" "ENSG00000271096" NA
"84" "ENSG00000248608" NA
"85" "ENSG00000282178" NA
"86" "ENSG00000234888" NA
"87" "ENSG00000187123" 130574
"88" "ENSG00000080546" 27244
"89" "ENSG00000275316" NA
"90" "ENSG00000287992" NA
"91" "ENSG00000234251" NA
