Gene stable ID,Mouse gene stable ID,Mouse gene name,Mouse homology type,"Mouse orthology confidence [0 low, 1 high]",Gene name
ENSG00000276626,ENSMUSG00000088546,Gm25981,ortholog_many2many,0,RF00100
ENSG00000276626,ENSMUSG00000088943,Gm23259,ortholog_many2many,0,RF00100
ENSG00000276626,ENSMUSG00000088818,Gm22389,ortholog_many2many,0,RF00100
ENSG00000276626,ENSMUSG00000084743,Gm25295,ortholog_many2many,0,RF00100
ENSG00000276626,ENSMUSG00000088500,Gm24419,ortholog_many2many,0,RF00100
ENSG00000276626,ENSMUSG00000089251,Gm25714,ortholog_many2many,0,RF00100
ENSG00000199595,ENSMUSG00000064945,Rny3,ortholog_one2many,0,RF00019
ENSG00000201050,ENSMUSG00000064867,Gm25039,ortholog_one2one,0,RNU6-668P
ENSG00000222705,ENSMUSG00000089146,Gm25266,ortholog_one2many,0,RN7SKP39
ENSG00000222705,ENSMUSG00000089529,Gm22325,ortholog_one2many,0,RN7SKP39
ENSG00000274662,ENSMUSG00000088357,Gm24011,ortholog_one2one,0,RN7SKP236
ENSG00000277613,ENSMUSG00000089563,Gm24667,ortholog_many2many,0,RF00026
ENSG00000277613,ENSMUSG00000088761,Gm24392,ortholog_many2many,0,RF00026
ENSG00000238961,ENSMUSG00000088108,Snora47,ortholog_one2one,1,SNORA47
ENSG00000206685,ENSMUSG00000065936,Gm25628,ortholog_one2one,0,RNU6-1189P
ENSG00000276991,ENSMUSG00000098395,Gm27998,ortholog_one2one,1,RF01877
ENSG00000202051,ENSMUSG00000064801,Gm24035,ortholog_one2one,0,RNU6-382P
ENSG00000200063,ENSMUSG00000065259,Snora30,ortholog_one2many,1,RF00415
ENSG00000200063,ENSMUSG00000064581,Gm25133,ortholog_one2many,0,RF00415
ENSG00000200779,ENSMUSG00000088656,Gm24848,ortholog_one2one,0,RNU6-105P
ENSG00000207394,ENSMUSG00000096200,Gm23186,ortholog_one2one,0,RNU6-1060P
ENSG00000207198,ENSMUSG00000064743,Gm24856,ortholog_one2one,0,RNU6-1195P
ENSG00000252199,ENSMUSG00000064994,Gm22422,ortholog_one2many,0,RF00156
ENSG00000276562,ENSMUSG00000093191,Gm22876,ortholog_one2many,0,RN7SL565P
ENSG00000222909,ENSMUSG00000089277,Gm24546,ortholog_one2one,0,RNU6-193P
ENSG00000274458,ENSMUSG00000087813,Gm22490,ortholog_one2many,0,RF00561
ENSG00000206929,ENSMUSG00000065721,Gm26168,ortholog_one2one,0,RF00019
ENSG00000277572,ENSMUSG00000098393,Gm28000,ortholog_many2many,0,RF01518
ENSG00000277572,ENSMUSG00000098373,Gm27679,ortholog_many2many,0,RF01518
ENSG00000277572,ENSMUSG00000099208,Gm27940,ortholog_many2many,0,RF01518
ENSG00000206952,ENSMUSG00000105690,Gm26265,ortholog_one2one,1,SNORA50A
ENSG00000253089,ENSMUSG00000064584,Gm25130,ortholog_one2many,0,RNU1-104P
ENSG00000251766,ENSMUSG00000065236,n-R5s197,ortholog_one2many,0,RNA5SP518
ENSG00000251897,ENSMUSG00000064904,Gm25404,ortholog_one2many,0,RNU6-916P
ENSG00000202229,ENSMUSG00000088879,Gm25867,ortholog_one2many,0,RNU6-1138P
ENSG00000222399,ENSMUSG00000089563,Gm24667,ortholog_many2many,0,RNU6-791P
ENSG00000222399,ENSMUSG00000088761,Gm24392,ortholog_many2many,0,RNU6-791P
ENSG00000265706,ENSMUSG00000092713,Gm22858,ortholog_one2one,1,SNORD53B
ENSG00000252601,ENSMUSG00000089291,Gm23208,ortholog_many2many,0,RF00425
ENSG00000252601,ENSMUSG00000088790,Gm22541,ortholog_many2many,0,RF00425
ENSG00000238875,ENSMUSG00000087956,Gm22561,ortholog_one2one,0,RN7SKP210
ENSG00000251992,ENSMUSG00000088242,Gm25913,ortholog_one2many,0,SCARNA17
ENSG00000251992,ENSMUSG00000089235,Gm23119,ortholog_one2many,1,SCARNA17
ENSG00000251992,ENSMUSG00000088310,Gm26183,ortholog_one2many,0,SCARNA17
ENSG00000253086,ENSMUSG00000064443,Gm26226,ortholog_one2many,0,RNU6-537P
ENSG00000253086,ENSMUSG00000065859,Gm22351,ortholog_one2many,0,RNU6-537P
ENSG00000199814,ENSMUSG00000095052,Gm25672,ortholog_one2one,0,RNU6-1260P
ENSG00000252139,ENSMUSG00000089625,Gm25443,ortholog_one2many,0,RF00283
ENSG00000252139,ENSMUSG00000088689,Scarna17,ortholog_one2many,1,RF00283
ENSG00000222784,ENSMUSG00000088331,Gm22846,ortholog_one2one,0,RN7SKP91
ENSG00000252010,ENSMUSG00000087968,Gm25395,ortholog_one2one,1,SCARNA5
ENSG00000252164,ENSMUSG00000077382,n-R5s200,ortholog_one2many,0,RNA5SP282
ENSG00000200437,ENSMUSG00000065319,Gm26066,ortholog_one2one,0,RNU6-799P
ENSG00000252956,ENSMUSG00000077309,n-R5s8,ortholog_one2one,0,RNA5SP40
ENSG00000201180,ENSMUSG00000089584,Gm23337,ortholog_one2many,0,RNU6-115P
ENSG00000199824,ENSMUSG00000065733,Gm24491,ortholog_one2one,0,RNU6-199P
ENSG00000221792,ENSMUSG00000080374,Gm22953,ortholog_one2one,1,MIR1282
ENSG00000277460,ENSMUSG00000099219,Gm27680,ortholog_one2one,1,RF02198
ENSG00000276730,ENSMUSG00000099252,Gm27265,ortholog_one2one,1,RF02275
ENSG00000222796,ENSMUSG00000088285,Gm23589,ortholog_one2one,0,RNU6-383P
ENSG00000252535,ENSMUSG00000098877,Gm27959,ortholog_one2many,0,RNA5SP254
ENSG00000222849,ENSMUSG00000088269,Gm24777,ortholog_one2many,0,RNA5SP21
ENSG00000238585,ENSMUSG00000065293,Gm26124,ortholog_one2many,0,RF00019
ENSG00000278391,ENSMUSG00000098393,Gm28000,ortholog_many2many,0,RF01518
ENSG00000278391,ENSMUSG00000098373,Gm27679,ortholog_many2many,0,RF01518
ENSG00000278391,ENSMUSG00000099208,Gm27940,ortholog_many2many,0,RF01518
ENSG00000207072,ENSMUSG00000093831,Gm23144,ortholog_one2many,0,RNU6-39P
ENSG00000273767,ENSMUSG00000099232,Gm27884,ortholog_one2one,1,RF02219
ENSG00000251809,ENSMUSG00000088880,Gm24213,ortholog_one2one,0,RN7SKP14
ENSG00000274721,ENSMUSG00000099157,Gm27804,ortholog_one2one,1,RF02039
ENSG00000199640,ENSMUSG00000088456,Gm26372,ortholog_one2many,0,RN7SKP294
ENSG00000275266,ENSMUSG00000099143,Gm27483,ortholog_one2many,1,RF01972
ENSG00000207369,ENSMUSG00000088268,Gm24776,ortholog_one2one,0,RNU6-665P
ENSG00000274915,ENSMUSG00000088334,Gm22842,ortholog_one2one,1,RF00635
ENSG00000273966,ENSMUSG00000098393,Gm28000,ortholog_many2many,0,RF01518
ENSG00000273966,ENSMUSG00000098373,Gm27679,ortholog_many2many,0,RF01518
ENSG00000273966,ENSMUSG00000099208,Gm27940,ortholog_many2many,0,RF01518
ENSG00000222455,ENSMUSG00000087836,Gm23956,ortholog_one2many,0,RNA5SP296
ENSG00000222455,ENSMUSG00000089599,Gm26157,ortholog_one2many,0,RNA5SP296
ENSG00000199396,ENSMUSG00000070225,n-R5s33,ortholog_one2one,0,RNA5S5
ENSG00000200830,ENSMUSG00000084694,Gm24893,ortholog_one2many,0,RN7SKP134
ENSG00000201326,ENSMUSG00000077681,Gm22496,ortholog_one2many,0,SNORD115-22
ENSG00000201882,ENSMUSG00000077506,Scarna9,ortholog_one2many,1,RF00493
ENSG00000212559,ENSMUSG00000087854,Gm22790,ortholog_one2one,0,RNA5SP35
ENSG00000202382,ENSMUSG00000064945,Rny3,ortholog_one2many,0,RF00019
ENSG00000281859,ENSMUSG00000064542,Gm22980,ortholog_one2one,1,SNORD38B
ENSG00000273537,ENSMUSG00000099117,Gm27404,ortholog_one2one,1,RF01986
ENSG00000207445,ENSMUSG00000064966,Snord15b,ortholog_one2one,1,SNORD15B
ENSG00000201403,ENSMUSG00000064741,Snord14a,ortholog_one2one,1,SNORD14B
ENSG00000212195,ENSMUSG00000098641,Rnu3b4,ortholog_one2many,0,RF00012
ENSG00000212195,ENSMUSG00000098925,Rnu3b2,ortholog_one2many,0,RF00012
ENSG00000212195,ENSMUSG00000105025,Rnu3b1,ortholog_one2many,1,RF00012
ENSG00000212195,ENSMUSG00000104856,Rnu3b3,ortholog_one2many,1,RF00012
ENSG00000200897,ENSMUSG00000064440,Gm26224,ortholog_one2many,1,RF00284
ENSG00000199622,ENSMUSG00000084568,Gm26480,ortholog_one2one,0,RN7SKP20
ENSG00000201909,ENSMUSG00000064775,Gm25205,ortholog_one2many,0,RNU6-590P
ENSG00000202188,ENSMUSG00000077681,Gm22496,ortholog_one2many,0,SNORD115-31
ENSG00000252386,ENSMUSG00000077155,Gm24582,ortholog_one2many,0,RNU6-1018P
ENSG00000199598,ENSMUSG00000089551,Gm24178,ortholog_one2one,0,RNU6-859P
ENSG00000252036,ENSMUSG00000087829,Gm22277,ortholog_many2many,0,RN7SKP288
ENSG00000252036,ENSMUSG00000089149,Gm22282,ortholog_many2many,0,RN7SKP288
ENSG00000252036,ENSMUSG00000088908,Gm25433,ortholog_many2many,0,RN7SKP288
ENSG00000252814,ENSMUSG00000089344,Gm22664,ortholog_one2one,0,RN7SKP233
ENSG00000251763,ENSMUSG00000065246,Gm22297,ortholog_one2one,0,RNU6-470P
ENSG00000223179,ENSMUSG00000088071,Gm22818,ortholog_one2many,0,RNU6-373P
ENSG00000253085,ENSMUSG00000088151,Gm26347,ortholog_one2many,0,RF00564
ENSG00000206593,ENSMUSG00000065348,Gm25577,ortholog_one2one,0,RNU6-47P
ENSG00000201129,ENSMUSG00000077569,Gm24608,ortholog_one2one,1,SNORA58B
ENSG00000199786,ENSMUSG00000088324,Gm25669,ortholog_one2one,0,RNA5SP188
ENSG00000252029,ENSMUSG00000098877,Gm27959,ortholog_one2many,0,RNA5SP253
ENSG00000201894,ENSMUSG00000088802,Gm24073,ortholog_one2many,0,RNU6-967P
ENSG00000253039,ENSMUSG00000065044,n-R5s169,ortholog_one2one,0,RNA5SP47
ENSG00000199846,ENSMUSG00000064830,Gm25699,ortholog_one2one,0,RNU1-72P
ENSG00000278406,ENSMUSG00000098249,Gm27330,ortholog_one2one,1,RF01981
ENSG00000200250,ENSMUSG00000094803,Gm26072,ortholog_one2one,0,RNU6-1147P
ENSG00000206712,ENSMUSG00000075864,Gm26002,ortholog_one2many,0,RNU6-26P
ENSG00000206615,ENSMUSG00000084456,Gm24593,ortholog_one2one,0,RNU6-338P
ENSG00000276680,ENSMUSG00000098635,Gm27741,ortholog_one2one,1,RF02143
ENSG00000275305,ENSMUSG00000064748,n-R5s28,ortholog_one2many,0,RNA5SP528
ENSG00000209702,ENSMUSG00000077527,Gm25506,ortholog_one2many,1,SNORD41
ENSG00000199620,ENSMUSG00000084465,n-R5s47,ortholog_one2one,0,RNA5SP258
ENSG00000199436,ENSMUSG00000065687,Gm23734,ortholog_one2one,0,SNORD9
ENSG00000201704,ENSMUSG00000095631,n-R5s86,ortholog_one2many,0,RNA5SP396
ENSG00000222774,ENSMUSG00000084749,Gm25288,ortholog_one2many,0,RN7SKP121
ENSG00000281394,ENSMUSG00000105448,Gm25820,ortholog_many2many,1,SCARNA4
ENSG00000281394,ENSMUSG00000106307,Gm23370,ortholog_many2many,0,SCARNA4
ENSG00000281394,ENSMUSG00000088777,Gm26039,ortholog_many2many,0,SCARNA4
ENSG00000281394,ENSMUSG00000087716,Gm25825,ortholog_many2many,0,SCARNA4
ENSG00000281394,ENSMUSG00000105400,Gm22897,ortholog_many2many,0,SCARNA4
ENSG00000281394,ENSMUSG00000087990,Gm25058,ortholog_many2many,0,SCARNA4
ENSG00000281394,ENSMUSG00000105886,Gm22813,ortholog_many2many,0,SCARNA4
ENSG00000281394,ENSMUSG00000105120,Gm26413,ortholog_many2many,0,SCARNA4
ENSG00000206680,ENSMUSG00000064453,Snord21,ortholog_one2one,1,SNORD21
ENSG00000252236,ENSMUSG00000077648,Gm24988,ortholog_one2many,0,RF00568
ENSG00000252236,ENSMUSG00000093355,Snora26,ortholog_one2many,0,RF00568
ENSG00000202373,ENSMUSG00000077681,Gm22496,ortholog_one2many,0,SNORD115-43
ENSG00000202427,ENSMUSG00000088736,Gm23898,ortholog_one2one,0,RNU6-744P
ENSG00000200345,ENSMUSG00000065769,Gm23846,ortholog_one2many,0,RNU6-485P
ENSG00000201487,ENSMUSG00000064731,Snord45b,ortholog_one2many,1,SNORD45B
ENSG00000276048,ENSMUSG00000098323,Gm27275,ortholog_one2one,1,RF02250
ENSG00000199282,ENSMUSG00000064513,Snora9,ortholog_many2many,1,RF00411
ENSG00000199282,ENSMUSG00000064570,Gm25800,ortholog_many2many,0,RF00411
ENSG00000199282,ENSMUSG00000088518,Gm24438,ortholog_many2many,0,RF00411
ENSG00000199282,ENSMUSG00000064392,Gm23626,ortholog_many2many,0,RF00411
ENSG00000252211,ENSMUSG00000064860,n-R5s220,ortholog_one2one,0,RNA5SP473
ENSG00000276528,ENSMUSG00000098537,Gm27867,ortholog_one2one,1,RF01975
ENSG00000222765,ENSMUSG00000084448,Gm26256,ortholog_one2many,0,RNU2-40P
ENSG00000198888,ENSMUSG00000064341,mt-Nd1,ortholog_one2one,1,MT-ND1
ENSG00000198763,ENSMUSG00000064345,mt-Nd2,ortholog_one2one,1,MT-ND2
ENSG00000198804,ENSMUSG00000064351,mt-Co1,ortholog_one2one,1,MT-CO1
ENSG00000198712,ENSMUSG00000064354,mt-Co2,ortholog_one2one,1,MT-CO2
ENSG00000206965,ENSMUSG00000095132,Rnu6,ortholog_one2many,0,RNU6-5P
ENSG00000206965,ENSMUSG00000095972,Gm23512,ortholog_one2many,0,RNU6-5P
